"Audience Rating",Color,Country,Genres,"IMDb Rating","IMDb Url","Is TV Series",Language,"Original Title",Plot,"Release Date","Release Year",Series,"Sort Title",Studios,Title,"Title Extension","Audio Tracks",Barcode,"Box Set",Distributor,Edition,"Edition Release Date","Edition Release Year",Extras,Format,HDR,Layers,"Nr Discs",Packaging,Regions,Runtime,"Screen Ratios",Subtitles,Actor,Director,Musician,Photography,Producer,Writer,"Added Date","Added Year","Collection Status",Condition,"Current Value",Features,Index,"Last Watched Date","Last Watched Where",Location,"Modified Date","My Rating",Notes,Owner,"Purchase Date","Purchase Price","Purchase Store","Purchase Year",Quantity,"Storage Device","Storage Slot",Tags,"Watch Count","Watch Year",Watched,"Due Date","Loan Date","Loaned To"
"US - R",Color,USA,"Crime | Drama",9.2,https://www.imdb.com/title/tt0068646/?ref_=ref_ext_clz,,English,,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",1972,1972,,Godfather,"Paramount Distribution","The Godfather",,,,"The Godfather Collection",,,,,,,,N/A,1,,,175,,,"Marlon Brando | Al Pacino | James Caan","Francis Ford Coppola","Nino Rota","Gordon Willis","Gray Frederickson | Albert S. Ruddy","Mario Puzo | Francis Ford Coppola","Mar 17, 2026",2026,"In Collection",,,,435,,,,"Mar 17, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
,Color,USA,Documentary,7.8,https://www.imdb.com/title/tt0101961/?ref_=ref_ext_clz,,English,,"A documentary on the making of the three Godfather films, with interviews and recollections from the film makers and cast. This feature also includes the original screen tests of some of the actors for ""The Godfather"" film, and some candid moments on the set of ""The Godfather: Part III.""",1990,1990,,"Godfather Family: A Look Inside","Paramount Pictures","The Godfather Family: A Look Inside",,,,"The Godfather Collection",,,,,,,,N/A,1,,,73,,,"Francis Ford Coppola | Mario Puzo | Marlon Brando","Jeff Werner",,,"Roman Coppola | Michael Danty | Fred Fuchs","David Gilbert","Mar 17, 2026",2026,"In Collection",,,,438,,,,"Mar 17, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
"US - R",Color,USA,"Crime | Drama",9,https://www.imdb.com/title/tt0071562/?ref_=ref_ext_clz,,English,,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",1974,1974,,"Godfather Part II","Paramount Distribution","The Godfather Part II",,"Dolby Digital 5.1 [English] | Dolby Digital 5.1 [Portuguese]",7890552080505,,,,"May 24, 2005",2005,,DVD,,"Single side, Dual layer",1,"Jewel Case","Region 4",202,"Anamorphic Widescreen (1.85:1)","English | Portuguese","Al Pacino | Robert Duvall | Diane Keaton","Francis Ford Coppola","Nino Rota","Gordon Willis","Francis Ford Coppola | Gray Frederickson | Fred Roos","Francis Ford Coppola | Mario Puzo","Mar 16, 2026",2026,"In Collection",,,,189,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - R",Color,USA,"Crime | Drama",9,https://www.imdb.com/title/tt0071562/?ref_=ref_ext_clz,,English,,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",1974,1974,,"Godfather Part II","Paramount Distribution","The Godfather Part II",,,,"The Godfather Collection",,,,,,,,N/A,1,,,202,,,"Al Pacino | Robert Duvall | Diane Keaton","Francis Ford Coppola","Nino Rota","Gordon Willis","Francis Ford Coppola | Gray Frederickson | Fred Roos","Francis Ford Coppola | Mario Puzo","Mar 17, 2026",2026,"In Collection",,,,436,,,,"Mar 17, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
"US - R",Color,USA,"Crime | Drama",7.5,https://www.imdb.com/title/tt0099674/?ref_=ref_ext_clz,,English,,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",1990,1990,,"Godfather: Part III","Paramount Distribution","The Godfather Part III",,"Dolby Digital 5.1 [English] | Dolby Digital 5.1 [Portuguese]",7890552080512,,,,"May 24, 2005",2005,,DVD,,"Single side, Dual layer",1,"Jewel Case","Region 4",162,"Anamorphic Widescreen (1.85:1)","English | Portuguese","Al Pacino | Diane Keaton | Talia Shire","Francis Ford Coppola","Carmine Coppola","Gordon Willis","Francis Ford Coppola | Gray Frederickson | Fred Fuchs","Mario Puzo | Francis Ford Coppola","Mar 16, 2026",2026,"In Collection",,,,188,,,,"Mar 16, 2026",0,,,,,,,1,,,Filmes,0,,No,,,
"US - R",Color,USA,"Crime | Drama",7.5,https://www.imdb.com/title/tt0099674/?ref_=ref_ext_clz,,English,,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",1990,1990,,"Godfather: Part III","Paramount Distribution","The Godfather Part III",,,,"The Godfather Collection",,,,,,,,N/A,1,,,162,,,"Al Pacino | Diane Keaton | Talia Shire","Francis Ford Coppola","Carmine Coppola","Gordon Willis","Francis Ford Coppola | Gray Frederickson | Fred Fuchs","Mario Puzo | Francis Ford Coppola","Mar 17, 2026",2026,"In Collection",,,,437,,,,"Mar 17, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
"US - Approved","Black & White",USA,"Adventure | Comedy | Drama | Romance | Western",8.1,https://www.imdb.com/title/tt0015864/?ref_=ref_ext_clz,,English,,"A gold prospector in Alaska struggles to survive the elements and win the heart of a dance hall girl.",1925,1925,,"Gold Rush","United Artists","The Gold Rush",,,9788581930107,"Charles Chaplin - Folha",,,,,,DVD,,N/A,1,,,95,,,"Charlie Chaplin | Mack Swain | Tom Murray","Charlie Chaplin","Charlie Chaplin | William P. Perry | Carli Elinor","Roland Totheroh","Charlie Chaplin","Charlie Chaplin","Mar 17, 2026",2026,"In Collection",,,,475,,,,"Mar 17, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
"US - Not Rated",Color,France,"Comedy | Drama | History | Romance",7,https://www.imdb.com/title/tt0044487/?ref_=ref_ext_clz,,English,,"A viceroy, a nobleman and a bullfighter court a comedy-troupe actress in 18th-century Peru.",1952,1952,,"Golden Coach","I.F.E. Releasing Corporation","The Golden Coach",,"Dolby Digital Stereo [English]",7895233164406,"Jean Renoir",,,,,,DVD,,"Single side, Dual layer",1,"Keep Case",,103,"Fullscreen (4:3)",Portuguese,"Anna Magnani | Duncan Lamont | Paul Campbell","Jean Renoir",,"Claude Renoir | Ronald Hill","Francesco Alliata | Renzo Avanzo","Jean Renoir | Jack Kirkland | Renzo Avanzo","Mar 17, 2026",2026,"In Collection",,,,433,,,,"Mar 17, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
"US - Approved",Color,USA,"Drama | Romance | War",8.2,https://www.imdb.com/title/tt0031381/?ref_=ref_ext_clz,,English,,"The spoiled daughter of a Georgia plantation owner conducts a tumultuous romance with a cynical profiteer during the American Civil War and Reconstruction Era.",1939,1939,,"Gone with the Wind","Metro-Goldwyn-Mayer (MGM)","Gone with the Wind",,,9788516062484,"Clássicos do Cinema - Folha",,,,,,DVD,,N/A,1,,,238,,,"Thomas Mitchell | Barbara O'Neil | Vivien Leigh","Victor Fleming","Max Steiner","Ernest Haller | Lee Garmes","David O. Selznick","Margaret Mitchell | Sidney Howard | Oliver H.P. Garrett","Mar 17, 2026",2026,"In Collection",,,,469,,,,"Mar 17, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
"US - R",Color,Italy,"Adventure | Drama | Western",8.8,https://www.imdb.com/title/tt0060196/?ref_=ref_ext_clz,,English,,"While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",1966,1966,,"Good, the Bad and the Ugly","United Artists","The Good, the Bad and the Ugly",,,7896748232949,"Leone & Eastwood",,,,,,DVD,,N/A,1,,,178,,,"Eli Wallach | Clint Eastwood | Lee Van Cleef","Sergio Leone","Ennio Morricone","Tonino Delli Colli","Alberto Grimaldi","Luciano Vincenzoni | Sergio Leone | Agenore Incrocci","Mar 16, 2026",2026,"In Collection",,,,396,,,,"Mar 17, 2026",0,,,,,,,1,,,Boxes,0,,No,,,
